"diff"	"lwr"	"upr"	"p.adj"
"Dlst-Fh"	0.0633617846850607	-3.58938818758974	3.71611175695986	1
"Idh3a-Fh"	0.095304677187809	-3.55744529508699	3.74805464946261	1
"Idh2-Fh"	0.272603640908492	-1.44371944540513	1.98892672722212	0.999992768739101
"Dld-Fh"	0.295863117313624	-1.420459969	2.01218620362725	0.999983284311725
"Sdha-Fh"	0.343287496897682	-1.48308748923972	2.16966248303508	0.999959949601023
"Idh3g-Fh"	1.15714393100568	-2.49560604126913	4.80989390328048	0.99474436487618
"Aco2-Fh"	1.35408239044202	-0.428277091760851	3.13644187264488	0.313831585869372
"Cs-Fh"	1.488225122529	-0.2581233853143	3.23457363037231	0.169016733481721
"Sucla2-Fh"	2.43599137853787	0.483514390566391	4.38846836650934	0.00403701424665637
"Suclg2-Fh"	2.57391572604834	0.69246182297885	4.45536962911784	0.00101614902765068
"Suclg1-Fh"	3.41898425315296	1.23604861834883	5.60191988795709	8.99931134451526e-05
"Idh3a-Dlst"	0.0319428925027483	-4.75062946255357	4.81451524755907	1
"Idh2-Dlst"	0.209241856223432	-3.3229219151791	3.74140562762596	0.999999999808775
"Dld-Dlst"	0.232501332628564	-3.29966243877397	3.76466510403109	0.999999999397425
"Sdha-Dlst"	0.279925712212621	-3.30700355407962	3.86685497850486	0.999999996177456
"Idh3g-Dlst"	1.09378214632061	-3.68879020873571	5.87635450137694	0.999725295210277
"Aco2-Dlst"	1.29072060575695	-2.27399835864878	4.85543957016269	0.984465131696108
"Cs-Dlst"	1.42486333784394	-2.12198724855548	4.97171392424337	0.966254506435961
"Sucla2-Dlst"	2.37262959385281	-1.280120378422	6.02537956612761	0.552802115317325
"Suclg2-Dlst"	2.51055394136328	-1.10473093825144	6.12583882097801	0.449536768658145
"Suclg1-Dlst"	3.3556224684679	-0.425332960665476	7.13657789760127	0.129384011784545
"Idh2-Idh3a"	0.177298963720683	-3.35486480768185	3.70946273512321	0.999999999968677
"Dld-Idh3a"	0.200558440125815	-3.33160533127671	3.73272221152834	0.999999999879544
"Sdha-Idh3a"	0.247982819709873	-3.33894644658237	3.83491208600211	0.999999998972722
"Idh3g-Idh3a"	1.06183925381787	-3.72073310123846	5.84441160887419	0.999793450788736
"Aco2-Idh3a"	1.25877771325421	-2.30594125115153	4.82349667765994	0.987233852099432
"Cs-Idh3a"	1.39292044534119	-2.15393014105823	4.93977103174062	0.971353178083086
"Sucla2-Idh3a"	2.34068670135006	-1.31206327092475	5.99343667362486	0.573266557467955
"Suclg2-Idh3a"	2.47861104886054	-1.13667383075419	6.09389592847526	0.469456867748619
"Suclg1-Idh3a"	3.32367957596515	-0.457275853168224	7.10463500509852	0.138126119563224
"Dld-Idh2"	0.023259476405132	-1.41874034490834	1.46525929771861	1
"Sdha-Idh2"	0.0706838559891896	-1.5006990184381	1.64206673041647	0.999999999990617
"Idh3g-Idh2"	0.884540290097183	-2.64762348130535	4.41670406149971	0.999352138470051
"Aco2-Idh2"	1.08147874953352	-0.438522524101941	2.60148002316899	0.411917836697871
"Cs-Idh2"	1.21562148162051	-0.26198863573166	2.69323159897268	0.208627918955404
"Sucla2-Idh2"	2.16338773762937	0.447064651315749	3.879710823943	0.00349912397553065
"Suclg2-Idh2"	2.30131208513985	0.666237977513412	3.93638619276629	0.000636009807257532
"Suclg1-Idh2"	3.14638061224446	1.17184103711494	5.12092018737398	6.37378480418116e-05
"Sdha-Dld"	0.0474243795840575	-1.52395849484323	1.61880725401134	1
"Idh3g-Dld"	0.861280813692051	-2.67088295771048	4.39344458509458	0.999495185348433
"Aco2-Dld"	1.05821927312839	-0.461782000507073	2.57822054676386	0.445583299173999
"Cs-Dld"	1.19236200521538	-0.285248112136792	2.66997212256755	0.232290865572817
